date,cabai_merah_besar,cabai_merah_keriting,cabai_rawit_hijau,cabai_rawit_merah,bawang_merah
2021-05-03,39000,37000,32000,60000,29000
2021-05-04,39000,39000,29000,70000,29000
2021-05-05,37000,37000,28000,70000,29000
2021-05-06,39000,39000,28000,70000,29000
2021-05-07,39000,40000,30000,70000,31000
2021-05-08,44167,44833,31000,73333,30333
2021-05-09,49333,49667,32000,76667,29667
2021-05-10,54500,54500,33000,80000,29000
2021-05-11,53000,53000,33000,80000,31000
2021-05-12,50000,50000,32500,80000,31000
2021-05-13,47000,47000,32000,80000,31000
2021-05-14,44000,44000,31500,80000,31000
2021-05-15,41000,41000,31000,80000,31000
2021-05-16,38000,38000,30500,80000,31000
2021-05-17,35000,35000,30000,80000,31000
2021-05-18,35000,35000,30000,70000,31000
2021-05-19,29000,29000,29000,60000,29000
2021-05-20,29000,29000,29000,60000,29000
2021-05-21,29000,29000,29000,60000,29000
2021-05-22,29000,29000,29000,59667,29000
2021-05-23,29000,29000,29000,59333,29000
2021-05-24,29000,29000,29000,59000,29000
2021-05-25,27000,29000,29000,55000,29000
2021-05-26,27000,28000,26750,52500,28500
2021-05-27,27000,27000,24500,50000,28000
2021-05-28,25000,25000,24500,50000,29000
2021-05-29,24833,25000,24333,50000,29000
2021-05-30,24667,25000,24167,50000,29000
2021-05-31,24500,25000,24000,50000,29000
2021-06-01,24500,25000,24500,47500,29000
2021-06-02,24500,25000,25000,45000,29000
2021-06-03,24500,25000,24000,44500,29000
2021-06-04,24500,25000,24500,40000,29000
2021-06-05,24333,24667,25333,40000,29000
2021-06-06,24167,24333,26167,40000,29000
2021-06-07,24000,24000,27000,40000,29000
2021-06-08,24500,25000,27000,40000,29000
2021-06-09,25500,25500,28000,40000,29000
2021-06-10,24000,22000,28000,40000,29000
2021-06-11,23000,22000,28000,40000,29000
2021-06-12,23000,22000,28000,40000,29000
2021-06-13,23000,22000,28000,40000,29000
2021-06-14,23000,22000,28000,40000,29000
2021-06-15,20000,20000,31000,40000,28000
2021-06-16,20000,20000,33000,40000,28000
2021-06-17,20000,20000,33000,40000,29000
2021-06-18,20000,20000,34000,40000,30000
2021-06-19,20000,20000,35000,43000,29667
2021-06-20,20000,20000,36000,46000,29333
2021-06-21,20000,20000,37000,49000,29000
2021-06-22,20000,20000,36000,49000,29000
2021-06-23,20000,20000,36000,49000,32000
2021-06-24,20000,20000,35000,49000,31000
2021-06-25,20000,24500,35000,55000,31000
2021-06-26,20000,24333,35000,56667,31000
2021-06-27,20000,24167,35000,58333,31000
2021-06-28,20000,24000,35000,60000,31000
2021-06-29,20000,23000,32000,61000,31000
2021-06-30,20000,20000,32000,59000,31000
2021-07-01,20000,20000,32000,60000,31000
2021-07-02,20000,20000,32000,60000,31000
2021-07-03,19667,20000,31667,60000,31000
2021-07-04,19333,20000,31333,60000,31000
2021-07-05,19000,20000,31000,60000,31000
2021-07-06,19000,23000,31000,60000,31000
2021-07-07,19000,23000,31000,63000,31000
2021-07-08,19000,24000,31000,69000,31000
2021-07-09,19000,20000,31000,69000,31000
2021-07-10,19333,20000,31000,67500,31000
2021-07-11,19667,20000,31000,66000,31000
2021-07-12,20000,20000,31000,64500,31000
2021-07-13,20000,24500,31000,70000,31000
2021-07-14,19000,24000,31000,71000,31000
2021-07-15,19000,24000,31000,74500,31000
2021-07-16,21000,24000,31000,75000,31000
2021-07-17,25500,27500,31000,76667,32000
2021-07-18,30000,31000,31000,78333,33000
2021-07-19,34500,34500,31000,80000,34000
2021-07-20,34750,34750,31500,80000,34000
2021-07-21,35000,35000,32000,80000,34000
2021-07-22,28000,28000,28000,75000,34500
2021-07-23,28000,28000,28000,70000,34500
2021-07-24,26333,26667,26667,69667,34500
2021-07-25,24667,25333,25333,69333,34500
2021-07-26,23000,24000,24000,69000,34500
2021-07-27,19000,21000,23000,60000,34500
2021-07-28,19000,20000,20000,60000,34500
2021-07-29,19000,21000,20000,60000,34500
2021-07-30,19000,20000,20000,50000,34500
2021-07-31,19000,19667,19667,48333,34000
2021-08-01,19000,19333,19333,46667,33500
2021-08-02,19000,19000,19000,45000,33000
2021-08-03,19000,19000,19000,45000,30000
2021-08-04,19000,19000,19000,45000,30000
2021-08-05,19000,19000,19000,49000,30000
2021-08-06,19000,19000,19000,50000,31000
2021-08-07,19000,19333,19000,48333,31000
2021-08-08,19000,19667,19000,46667,31000
2021-08-09,19000,20000,19000,45000,31000
2021-08-10,18000,20000,19000,45000,31000
2021-08-11,18500,20000,19000,42500,30000
2021-08-12,19000,20000,19000,40000,29000
2021-08-13,19000,20000,19000,35000,29000
2021-08-14,18000,19667,19000,33333,29000
2021-08-15,17000,19333,19000,31667,29000
2021-08-16,16000,19000,19000,30000,29000
2021-08-17,17500,19000,19000,32500,29000
2021-08-18,19000,19000,19000,35000,29000
2021-08-19,19000,19000,19000,30000,29000
2021-08-20,19000,20000,19000,29000,29000
2021-08-21,19000,20000,19000,29000,28333
2021-08-22,19000,20000,19000,29000,27667
2021-08-23,19000,20000,19000,29000,27000
2021-08-24,17000,20000,17000,29000,27000
2021-08-25,17000,17000,17000,29000,28000
2021-08-26,17000,17000,17000,27000,28000
2021-08-27,17000,17000,17000,27000,27000
2021-08-28,17667,18000,18000,27000,26500
2021-08-29,18333,19000,19000,27000,26000
2021-08-30,19000,20000,20000,27000,25500
2021-08-31,19000,20000,20000,27000,25500
2021-09-01,17000,20000,20000,25500,24500
2021-09-02,17000,18000,20000,25500,25500
2021-09-03,16000,19000,21000,25000,25500
2021-09-04,16667,19000,21667,25000,25500
2021-09-05,17333,19000,22333,25000,25500
2021-09-06,18000,19000,23000,25000,25500
2021-09-07,18000,19000,23500,25000,25500
2021-09-08,17000,19000,21000,25000,25500
2021-09-09,18000,19000,24000,25000,25500
2021-09-10,18000,19000,21000,25000,24500
2021-09-11,18667,19333,22000,25000,24500
2021-09-12,19333,19667,23000,25000,24500
2021-09-13,20000,20000,24000,25000,24500
2021-09-14,18000,20000,24000,25000,25000
2021-09-15,19000,20000,23000,25000,25000
2021-09-16,19000,20000,21000,24500,25000
2021-09-17,19000,20000,20000,24500,24500
2021-09-18,20333,21000,20333,25000,24667
2021-09-19,21667,22000,20667,25500,24833
2021-09-20,23000,23000,21000,26000,25000
2021-09-21,23000,23000,23000,28000,24000
2021-09-22,21000,21000,23000,28000,24000
2021-09-23,19000,20000,20000,28000,24000
2021-09-24,24000,23000,23000,28000,24500
2021-09-25,24333,23500,23500,28000,24500
2021-09-26,24667,24000,24000,28000,24500
2021-09-27,25000,24500,24500,28000,24500
2021-09-28,24500,24500,24500,28000,24000
2021-09-29,25500,24500,24500,28000,24500
2021-09-30,23000,24000,24000,28000,24500
2021-10-01,28000,31000,24500,28000,24500
2021-10-02,29000,31000,25667,28000,24500
2021-10-03,30000,31000,26833,28000,24500
2021-10-04,31000,31000,28000,28000,24500
2021-10-05,29000,31000,29000,28000,25000
2021-10-06,29000,31000,29000,28000,24500
2021-10-07,31000,33000,29000,30000,24500
2021-10-08,30000,35000,29000,31000,24500
2021-10-09,29667,35000,28667,31000,24500
2021-10-10,29333,35000,28333,31000,24500
2021-10-11,29000,35000,28000,31000,24500
2021-10-12,29000,35000,28000,31000,25500
2021-10-13,29000,34500,29000,31000,25500
2021-10-14,27000,31000,30000,31000,27000
2021-10-15,27000,33000,28000,33000,27000
2021-10-16,26333,32333,27667,32000,26500
2021-10-17,25667,31667,27333,31000,26000
2021-10-18,25000,31000,27000,30000,25500
2021-10-19,24500,31000,24500,30000,25500
2021-10-20,26750,32000,24500,30500,25500
2021-10-21,29000,33000,24500,31000,25500
2021-10-22,29000,34500,25000,31000,25500
2021-10-23,26667,34500,24667,30667,25333
2021-10-24,24333,34500,24333,30333,25167
2021-10-25,22000,34500,24000,30000,25000
2021-10-26,20000,34500,20000,28000,24500
2021-10-27,20000,34500,20000,28000,25500
2021-10-28,20000,35000,20000,29000,24500
2021-10-29,20000,35000,20000,28000,24000
2021-10-30,20000,35167,20000,28000,24000
2021-10-31,20000,35333,20000,28000,24000
2021-11-01,20000,35500,20000,28000,24000
2021-11-02,24000,40000,20000,30000,24000
2021-11-03,29000,40000,20000,28000,21000
2021-11-04,30000,40000,20000,28000,21000
2021-11-05,30000,40000,20000,29000,21000
2021-11-06,30000,41000,20000,29000,21000
2021-11-07,30000,42000,20000,29000,21000
2021-11-08,30000,43000,20000,29000,21000
2021-11-09,31000,44000,19000,29000,21000
2021-11-10,31000,41000,19000,30000,21000
2021-11-11,29000,43000,19000,30000,21000
2021-11-12,30000,43000,20000,30000,21000
2021-11-13,31667,42333,20000,30000,21000
2021-11-14,33333,41667,20000,30000,21000
2021-11-15,35000,41000,20000,30000,21000
2021-11-16,35000,40000,20000,30000,21000
2021-11-17,34500,40000,20000,30000,21000
2021-11-18,35000,40000,23000,30000,21000
2021-11-19,37000,41000,24000,30000,21000
2021-11-20,39000,41667,24500,30333,21000
2021-11-21,41000,42333,25000,30667,21000
2021-11-22,43000,43000,25500,31000,21000
2021-11-23,44500,44500,31000,34500,21000
2021-11-24,40000,40000,31000,31000,19000
2021-11-25,44500,42000,35000,35000,19000
2021-11-26,41000,42000,35500,37000,19000
2021-11-27,40667,42000,35500,37667,19000
2021-11-28,40333,42000,35500,38333,19000
2021-11-29,40000,42000,35500,39000,19000
2021-11-30,40000,42000,31000,43000,19000
2021-12-01,40000,42000,35500,51000,19000
2021-12-02,40000,42000,40000,60000,20000
2021-12-03,45000,45000,41000,60000,20000
2021-12-04,46667,46667,44000,63333,20000
2021-12-05,48333,48333,47000,66667,20000
2021-12-06,50000,50000,50000,70000,20000
2021-12-07,49000,45000,41000,60000,20000
2021-12-08,49000,49000,41000,60000,22000
2021-12-09,42000,44000,44000,60000,24000
2021-12-10,43000,45000,45000,60000,23000
2021-12-11,42333,45000,46667,66667,23667
2021-12-12,41667,45000,48333,73333,24333
2021-12-13,41000,45000,50000,80000,25000
2021-12-14,39000,45000,50000,80000,25500
2021-12-15,39000,44000,50000,90000,25500
2021-12-16,35500,44500,50000,90000,25500
2021-12-17,28000,35000,51000,100000,25500
2021-12-18,29000,35000,50000,99167,25550
2021-12-19,30000,35000,49000,98333,25600
2021-12-20,31000,35000,48000,97500,25650
2021-12-21,30000,35000,48000,97500,25500
2021-12-22,29000,35000,44000,100000,24500
2021-12-23,33000,35500,46500,97500,25000
2021-12-24,30000,39000,44000,120000,24000
2021-12-25,29333,37667,46333,113333,24167
2021-12-26,28667,36333,48667,106667,24333
2021-12-27,28000,35000,51000,100000,24500
2021-12-28,26000,44500,50000,90000,25500
2021-12-29,25000,40000,50000,90000,25500
2021-12-30,25000,35500,50000,90000,25500
2021-12-31,24500,35000,50000,90000,25500
2022-01-01,26000,35000,50833,90000,25500
2022-01-02,27500,35000,51667,90000,25500
2022-01-03,29000,35000,52500,90000,25500
2022-01-04,28000,35000,52500,90000,25500
2022-01-05,27000,35000,52500,90000,25500
2022-01-06,25000,35000,52500,80000,25500
2022-01-07,25000,30000,60000,80000,25500
2022-01-08,25000,30000,60000,76667,25000
2022-01-09,25000,30000,60000,73333,24500
2022-01-10,25000,30000,60000,70000,24000
2022-01-11,25000,28000,57000,60000,24000
2022-01-12,24000,28000,57000,59000,23000
2022-01-13,23000,28000,55000,59000,23000
2022-01-14,23000,27000,55000,59000,24000
2022-01-15,25333,29333,55000,59000,24000
2022-01-16,27667,31667,55000,59000,24000
2022-01-17,30000,34000,55000,59000,24000
2022-01-18,30000,34000,52000,52000,24500
2022-01-19,29000,34000,52000,52000,24500
2022-01-20,29000,34000,51000,51000,24500
2022-01-21,31000,34000,50000,51000,24500
2022-01-22,31000,34000,46333,47000,24500
2022-01-23,31000,34000,42667,43000,24500
2022-01-24,31000,34000,39000,39000,24500
2022-01-25,29000,34000,39000,39000,24500
2022-01-26,29000,31000,39000,39000,24500
2022-01-27,25500,30000,39000,39000,24500
2022-01-28,25500,29000,40000,39000,24500
2022-01-29,25500,28667,38333,37667,24500
2022-01-30,25500,28333,36667,36333,24500
2022-01-31,25500,28000,35000,35000,24500
2022-02-01,25500,28500,35000,35000,26750
2022-02-02,25500,29000,35000,35000,29000
2022-02-03,27000,29000,35000,35000,30000
2022-02-04,30000,29000,35000,40000,30000
2022-02-05,30000,29667,35000,43000,30333
2022-02-06,30000,30333,35000,46000,30667
2022-02-07,30000,31000,35000,49000,31000
2022-02-08,29000,31000,35000,48000,30000
2022-02-09,29000,33000,35000,40000,32000
2022-02-10,29000,31000,35000,40000,35500
2022-02-11,30000,35000,32000,40000,36000
2022-02-12,31500,35167,33000,41667,36000
2022-02-13,33000,35333,34000,43333,36000
2022-02-14,34500,35500,35000,45000,36000
2022-02-15,34500,35500,30000,49000,31000
2022-02-16,35000,35500,30000,48000,30000
2022-02-17,35000,35500,30000,50000,30000
2022-02-18,35500,36000,30000,50000,30000
2022-02-19,35500,35833,30000,50000,31000
2022-02-20,35500,35667,30000,50000,32000
2022-02-21,35500,35500,30000,50000,33000
2022-02-22,35500,35500,32000,50000,31000
2022-02-23,35500,35500,32000,55000,31000
2022-02-24,40000,45000,32000,55000,31000
2022-02-25,41000,45000,33000,55000,31000
2022-02-26,41250,45000,33000,57375,31500
2022-02-27,41500,45000,33000,59750,32000
2022-02-28,41750,45000,33000,62125,32500
2022-03-01,42000,45000,33000,64500,33000
2022-03-02,42000,45000,35000,65000,33000
2022-03-03,45500,47000,35000,65000,33000
2022-03-04,49000,49000,35000,65000,33000
2022-03-05,49000,49667,36667,65000,33000
2022-03-06,49000,50333,38333,65000,33000
2022-03-07,49000,51000,40000,65000,33000
2022-03-08,51000,51000,38000,65000,33000
2022-03-09,50000,50000,37000,65000,31000
2022-03-10,48000,48000,37000,65000,31000
2022-03-11,48000,51000,37000,69000,31000
2022-03-12,48667,51000,37000,67667,31000
2022-03-13,49333,51000,37000,66333,31000
2022-03-14,50000,51000,37000,65000,31000
2022-03-15,47000,50000,35500,65000,31000
2022-03-16,45000,50000,35500,65000,31000
2022-03-17,40000,49000,35500,64000,31000
2022-03-18,40000,49000,35500,60000,31000
2022-03-19,41667,49000,35500,60000,31000
2022-03-20,43333,49000,35500,60000,31000
2022-03-21,45000,49000,35500,60000,31000
2022-03-22,41000,45500,35500,60000,30000
2022-03-23,45000,45500,35500,60000,29000
2022-03-24,49000,49000,32000,60000,29000
2022-03-25,49000,49000,32000,60000,29000
2022-03-26,49000,49000,32000,59667,29000
2022-03-27,49000,49000,32000,59333,29000
2022-03-28,49000,49000,32000,59000,29000
2022-03-29,45500,45500,32000,59000,29000
2022-03-30,45500,45500,34500,60000,30000
2022-03-31,49000,49000,35000,60000,30000
2022-04-01,51000,51000,35500,60000,30000
2022-04-02,53667,53667,38667,60000,30333
2022-04-03,56333,56333,41833,60000,30667
2022-04-04,59000,59000,45000,60000,31000
2022-04-05,59000,60000,60000,69000,34500
2022-04-06,55500,55500,60000,69000,34500
2022-04-07,50000,55000,59000,65000,34500
2022-04-08,40000,40000,40000,60000,34500
2022-04-09,38333,39667,38333,56667,33333
2022-04-10,36667,39333,36667,53333,32167
2022-04-11,35000,39000,35000,50000,31000
2022-04-12,29000,30000,30000,50000,31000
2022-04-13,29000,30000,29000,50000,31000
2022-04-14,29000,29000,31000,50000,31000
2022-04-15,29000,30625,31000,50000,31000
2022-04-16,29000,32250,31000,50000,31000
2022-04-17,29000,33875,31000,50000,31000
2022-04-18,29000,35500,31000,50000,31000
2022-04-19,29000,35500,31000,50000,31000
2022-04-20,29000,35500,31000,39000,31000
2022-04-21,29000,33000,31000,39000,31000
2022-04-22,35000,35000,31000,39000,31000
2022-04-23,36333,36667,32500,42333,33667
2022-04-24,37667,38333,34000,45667,36333
2022-04-25,39000,40000,35500,49000,39000
2022-04-26,49000,49000,35500,49000,40000
2022-04-27,49000,51000,35500,40000,40000
2022-04-28,49000,50000,35500,44500,40000
2022-04-29,47182,48636,35500,44091,39591
2022-04-30,45364,47273,35500,43682,39182
2022-05-01,43545,45909,35500,43273,38773
2022-05-02,41727,44545,35500,42864,38364
2022-05-03,39909,43182,35500,42455,37955
2022-05-04,38091,41818,35500,42045,37545
2022-05-05,36273,40455,35500,41636,37136
2022-05-06,34455,39091,35500,41227,36727
2022-05-07,32636,37727,35500,40818,36318
2022-05-08,30818,36364,35500,40409,35909
2022-05-09,29000,35000,35500,40000,35500
2022-05-10,35000,35000,35500,40000,35500
2022-05-11,45000,45000,35500,45000,39000
2022-05-12,49000,45000,35000,45000,39000
2022-05-13,45000,40000,35000,40000,39000
2022-05-14,45000,41250,35000,41250,39250
2022-05-15,45000,42500,35000,42500,39500
2022-05-16,45000,43750,35000,43750,39750
2022-05-17,45000,45000,35000,45000,40000
2022-05-18,50000,50000,40000,49000,45000
2022-05-19,50000,50000,40000,55000,45000
2022-05-20,50000,50000,49000,60000,45000
2022-05-21,49667,49667,47667,60000,45000
2022-05-22,49333,49333,46333,60000,45000
2022-05-23,49000,49000,45000,60000,45000
2022-05-24,55000,49000,45000,60000,45000
2022-05-25,60000,60000,49000,65000,45500
2022-05-26,58500,58500,49500,67500,45000
2022-05-27,57000,57000,50000,70000,44500
2022-05-28,57000,57000,51667,70000,44500
2022-05-29,57000,57000,53333,70000,44500
2022-05-30,57000,57000,55000,70000,44500
2022-05-31,60000,60000,60000,80000,44000
2022-06-01,60000,60000,60000,80000,44000
2022-06-02,60000,60000,60000,80000,44000
2022-06-03,60000,60000,60000,80000,41000
2022-06-04,63000,63000,63000,86667,41000
2022-06-05,66000,66000,66000,93333,41000
2022-06-06,69000,69000,69000,100000,41000
2022-06-07,71000,71000,71000,100000,50000
2022-06-08,71000,79000,79000,100000,50000
2022-06-09,75000,75000,79000,100000,50000
2022-06-10,75000,75000,75000,100000,54500
2022-06-11,75000,75000,75000,100000,53333
2022-06-12,75000,75000,75000,100000,52167
2022-06-13,75000,75000,75000,100000,51000
2022-06-14,75000,75000,75000,100000,51000
2022-06-15,75000,80000,80000,100000,51000
2022-06-16,70000,80000,80000,100000,51000
2022-06-17,70000,80000,80000,110000,54500
2022-06-18,71500,80000,80000,106667,54500
2022-06-19,73000,80000,80000,103333,54500
2022-06-20,74500,80000,80000,100000,54500
2022-06-21,74500,80000,78000,100000,55000
2022-06-22,70000,80000,75000,100000,55000
2022-06-23,70000,80000,71000,100000,54500
2022-06-24,69000,80000,70000,100000,54500
2022-06-25,69333,80000,73333,103333,56333
2022-06-26,69667,80000,76667,106667,58167
2022-06-27,70000,80000,80000,110000,60000
2022-06-28,70000,80000,80000,110000,65000
2022-06-29,71000,81000,81000,110000,65000
2022-06-30,71000,81000,80000,110000,65000
2022-07-01,75000,81000,81000,110000,65000
2022-07-02,78333,84000,82333,110000,66333
2022-07-03,81667,87000,83667,110000,67667
2022-07-04,85000,90000,85000,110000,69000
2022-07-05,90000,90000,90000,110000,70000
2022-07-06,90000,90000,90000,110000,70000
2022-07-07,90000,95000,90000,110000,70000
2022-07-08,90000,95000,90000,110000,70000
2022-07-09,91667,95000,91667,110000,70000
2022-07-10,93333,95000,93333,110000,70000
2022-07-11,95000,95000,95000,110000,70000
2022-07-12,110000,100000,100000,120000,70000
2022-07-13,100000,100000,100000,120000,65000
2022-07-14,90000,100000,100000,110000,60000
2022-07-15,85000,90000,85000,100000,59000
2022-07-16,86667,90000,83333,100000,57667
2022-07-17,88333,90000,81667,100000,56333
2022-07-18,90000,90000,80000,100000,55000
2022-07-19,90000,90000,60000,90000,55000
2022-07-20,90000,90000,50000,90000,50000
2022-07-21,90000,90000,45000,85500,45000
2022-07-22,90000,90000,40000,85500,40000
2022-07-23,86667,86667,46667,83667,38333
2022-07-24,83333,83333,53333,81833,36667
2022-07-25,80000,80000,60000,80000,35000
2022-07-26,80000,80000,60000,80000,35000
2022-07-27,80000,80000,55000,75000,35000
2022-07-28,75500,79000,55000,75000,35000
2022-07-29,75000,79000,50000,75000,35000
2022-07-30,73333,79000,51667,73333,35000
2022-07-31,71667,79000,53333,71667,35000
2022-08-01,70000,79000,55000,70000,35000
2022-08-02,69000,70000,55000,70000,35000
2022-08-03,69000,70000,60000,70000,35000
2022-08-04,65000,70000,55000,70000,35000
2022-08-05,67500,70000,55000,70000,35000
2022-08-06,67000,70000,53333,70000,35000
2022-08-07,66500,70000,51667,70000,35000
2022-08-08,66000,70000,50000,70000,35000
2022-08-09,69000,70000,54500,70000,35000
2022-08-10,69000,74500,50000,70000,34500
2022-08-11,69000,70000,50000,69000,34500
2022-08-12,65000,70000,50000,65000,34500
2022-08-13,63333,70000,50000,63333,34333
2022-08-14,61667,70000,50000,61667,34167
2022-08-15,60000,70000,50000,60000,34000
2022-08-16,60000,65000,50000,60000,32000
2022-08-17,59500,62500,50000,60000,32000
2022-08-18,59000,60000,50000,60000,32000
2022-08-19,60000,65000,55000,60000,32000
2022-08-20,58333,65000,53333,59667,31667
2022-08-21,56667,65000,51667,59333,31333
2022-08-22,55000,65000,50000,59000,31000
2022-08-23,55000,65000,50000,59000,30000
2022-08-24,50000,60000,45000,55000,30000
2022-08-25,50000,60000,45000,52500,30000
2022-08-26,50000,65000,41000,50000,29000
2022-08-27,50000,63333,40667,50000,29333
2022-08-28,50000,61667,40333,50000,29667
2022-08-29,50000,60000,40000,50000,30000
2022-08-30,50000,60000,40000,50000,30000
2022-08-31,50000,60000,43000,55000,30000
2022-09-01,55000,65000,49000,60000,30000
2022-09-02,59000,70000,50000,60000,30000
2022-09-03,59333,73333,46667,60000,30333
2022-09-04,59667,76667,43333,60000,30667
2022-09-05,60000,80000,40000,60000,31000
2022-09-06,60000,80000,40000,65000,31000
2022-09-07,70000,80000,43000,70000,31000
2022-09-08,65000,80000,43000,70000,31000
2022-09-09,64500,80000,43000,65000,31000
2022-09-10,61333,76667,42000,63333,31000
2022-09-11,58167,73333,41000,61667,31000
2022-09-12,55000,70000,40000,60000,31000
2022-09-13,50000,70000,35500,60000,31000
2022-09-14,49000,63000,35500,60000,31000
2022-09-15,39000,60000,35500,60000,31000
2022-09-16,39000,70000,39000,70000,31000
2022-09-17,37667,70000,37667,73333,31000
2022-09-18,36333,70000,36333,76667,31000
2022-09-19,35000,70000,35000,80000,31000
2022-09-20,39000,65000,35000,75000,31000
2022-09-21,35000,65000,34500,70000,31000
2022-09-22,35000,60000,32000,70000,31000
2022-09-23,34500,60000,32000,69000,31000
2022-09-24,34500,60000,31667,66000,31000
2022-09-25,34500,60000,31333,63000,31000
2022-09-26,34500,60000,31000,60000,31000
2022-09-27,35500,60000,31000,64000,31000
2022-09-28,40000,60000,31000,64500,31000
2022-09-29,40000,60000,31000,70000,31000
2022-09-30,35500,60000,31000,70000,31000
2022-10-01,36667,60000,31000,68333,31000
2022-10-02,37833,60000,31000,66667,31000
2022-10-03,39000,60000,31000,65000,31000
2022-10-04,40000,51000,35000,65000,31000
2022-10-05,40000,53000,35500,64500,31000
2022-10-06,40000,50000,32000,60000,31000
2022-10-07,40000,51000,33000,59000,33000
2022-10-08,41667,54000,32000,59333,32333
2022-10-09,43333,57000,31000,59667,31667
2022-10-10,45000,60000,30000,60000,31000
2022-10-11,39000,60000,30000,60000,31000
2022-10-12,40000,60000,30000,60000,31000
2022-10-13,33000,55000,29000,55000,31000
2022-10-14,31000,55000,29000,55000,31000
2022-10-15,30333,55000,29000,55000,31333
2022-10-16,29667,55000,29000,55000,31667
2022-10-17,29000,55000,29000,55000,32000
2022-10-18,29000,45000,28000,55000,31000
2022-10-19,29000,45000,25000,55000,31000
2022-10-20,30000,49000,25000,55000,31000
2022-10-21,32000,45000,25000,50000,31000
2022-10-22,31667,45000,25000,48333,31000
2022-10-23,31333,45000,25000,46667,31000
2022-10-24,31000,45000,25000,45000,31000
2022-10-25,31000,40000,25000,45000,31000
2022-10-26,29000,40000,20000,45000,31000
2022-10-27,31000,40000,20000,45000,31000
2022-10-28,30000,41000,20000,49000,31000
2022-10-29,29667,41667,20000,49000,31000
2022-10-30,29333,42333,20000,49000,31000
2022-10-31,29000,43000,20000,49000,31000
